Rank,Accuracy
1,0.2625
2,0.3622
3,0.4276
4,0.4712
5,0.5056
6,0.5324
7,0.5588
8,0.5781
9,0.5962
10,0.6134
11,0.6134
12,0.6134
13,0.6134
14,0.6134
15,0.6134
16,0.6134
17,0.6134
18,0.6134
19,0.6134
20,0.6134
21,0.6134
22,0.6134
23,0.6134
24,0.6134
25,0.6134
26,0.6134
27,0.6134
28,0.6134
29,0.6134
30,0.6134
31,0.6134
32,0.6134
33,0.6134
34,0.6134
35,0.6134
36,0.6134
37,0.6134
38,0.6134
39,0.6134
40,0.6134
41,0.6134
42,0.6134
43,0.6134
44,0.6134
45,0.6134
46,0.6134
47,0.6134
48,0.6134
49,0.6134
50,0.6134
